city,date,Multi-source,DomesticAviation,GroundTransportation,day
重庆市,20200101,4806549.852543402,55581.39892029973,264690.82011612155,1
重庆市,20200102,5056838.498245612,57137.60000345722,264502.3198635309,2
重庆市,20200103,5045968.658159041,56997.04410382853,336207.8545420759,3
重庆市,20200104,4951973.992101798,57640.60792203582,346682.969113118,4
重庆市,20200105,4787013.418577292,56541.53887355035,317626.05386276287,5
重庆市,20200106,4873717.617265001,55068.30481447927,312730.8702610004,6
重庆市,20200107,4883756.524494268,57024.049056766446,304718.44695383485,7
重庆市,20200108,4970788.713245631,53407.33752835779,283114.2682197999,8
重庆市,20200109,5105789.455356595,54077.25557774548,254179.86783567816,9
重庆市,20200110,5003916.06029177,59913.579021123885,260138.29931778728,10
重庆市,20200111,4977048.692264111,61149.29963869281,238713.9067940921,11
重庆市,20200112,4822073.887568651,60620.58821069136,222681.5933845392,12
重庆市,20200113,4950182.268762555,61135.63448178447,240886.6715728052,13
重庆市,20200114,4905510.127038198,61440.82298607084,330494.23631963425,14
重庆市,20200115,4986830.958526828,61881.36161592559,345545.154757474,15
重庆市,20200116,4963485.877640019,61958.14678331533,373418.7882072351,16
重庆市,20200117,4817805.275422663,60995.72930391332,385882.7747705456,17
重庆市,20200118,4507691.667563647,62506.37986404299,311186.4740306209,18
重庆市,20200119,4313760.765536682,62355.73777717243,262342.94773640425,19
重庆市,20200120,4252851.7003203,62253.899822117375,343097.7677157611,20
重庆市,20200121,4070736.446665384,62063.23834715809,343973.30612875725,21
重庆市,20200122,3982375.649160845,61876.15584186526,300267.0760540732,22
重庆市,20200123,3797490.091739308,60749.75647956311,236373.0586981769,23
重庆市,20200124,3703707.603013919,51200.41468766006,152399.19615979213,24
重庆市,20200125,3576752.8952278867,51276.54913329226,149669.77757998102,25
重庆市,20200126,3529759.471671826,53411.89258066057,138641.7018923011,26
重庆市,20200127,3611498.0266197394,51770.77230814408,181819.9714398873,27
重庆市,20200128,3610254.390886636,46321.95367138087,176608.5578842891,28
重庆市,20200129,3483653.351833397,40084.78562535765,150475.65509295318,29
重庆市,20200130,3471161.22664414,35435.70402861139,147216.17535193003,30
重庆市,20200131,3318875.195915959,30221.145224562668,125598.48418336408,31
广州市,20200101,2569486.2922794484,27832.187449435387,159188.13177443756,1
广州市,20200102,2680429.364011881,28611.44959642743,203301.0889241535,2
广州市,20200103,2671223.5669358093,28541.06673054815,244972.7005524199,3
广州市,20200104,2618398.54016913,28863.32901922685,221496.68307342049,4
广州市,20200105,2533556.469385663,28312.974109643103,236174.2011870172,5
广州市,20200106,2576113.372572699,27575.25740431592,283579.37376196345,6
广州市,20200107,2598909.9587564534,28554.58936450181,316354.82982283394,7
广州市,20200108,2649733.771721177,26743.53395451572,335101.145617424,8
广州市,20200109,2715681.955063677,27078.9930305468,369756.46209451824,9
广州市,20200110,2667434.1924537392,30001.51119754305,341182.2371565606,10
广州市,20200111,2665452.1436525173,30620.293893398328,391023.3068354497,11
广州市,20200112,2591700.81856413,30355.54352984782,384483.6275200676,12
广州市,20200113,2652663.841870585,30613.45111477117,416277.87419039634,13
广州市,20200114,2635401.85882508,30766.27317077756,421645.27272144327,14
广州市,20200115,2671210.7887358856,30986.871319852868,452760.4237527577,15
广州市,20200116,2659936.451839061,31025.321218805435,483258.4867955521,16
广州市,20200117,2591772.98923047,30543.3940954932,494270.4221448617,17
广州市,20200118,2433200.4711430445,31299.846980394726,442303.96970860666,18
广州市,20200119,2333948.4150448595,31224.41349219541,380212.6665318845,19
广州市,20200120,2300482.7166745253,31173.41849909307,390471.9196157845,20
广州市,20200121,2198247.801001905,31077.945444914243,344892.80051480926,21
广州市,20200122,2150765.520315106,30984.264547042527,285630.20452724746,22
广州市,20200123,2056777.479743479,30420.224080204465,199368.4944647496,23
广州市,20200124,2018661.7464014085,25638.42520623076,107888.35863642354,24
广州市,20200125,1963332.224274028,25676.54925858203,81615.5273038607,25
广州市,20200126,1945423.45565722,26745.81488072477,54680.34907180991,26
广州市,20200127,1986059.1638685712,25924.029752264007,64679.70619032809,27
广州市,20200128,1982253.2203198336,23195.553236337684,65600.50796476714,28
广州市,20200129,1921118.8266273823,20072.31356294497,62272.7083280686,29
广州市,20200130,1916213.165179968,17744.302520007648,57112.51655152418,30
广州市,20200131,1829299.238699235,15133.130780546777,50901.22952832752,31
上海市,20200101,4531756.627721525,42871.371534199934,549892.9184075528,1
上海市,20200102,4708894.705208916,44071.70970693353,596669.6996296787,2
上海市,20200103,4688596.817498159,43963.29530370941,577025.7034720498,3
上海市,20200104,4596836.751037074,44459.69273328646,534436.9552743142,4
上海市,20200105,4449842.415115432,43611.95233029795,449573.09212158,5
上海市,20200106,4517343.762717986,42475.6087705786,427781.2766051286,6
上海市,20200107,4569687.041933131,43984.12492284737,458014.7351124886,7
上海市,20200108,4663514.930447008,41194.46171396037,426277.38086016313,8
上海市,20200109,4777008.729233606,41711.18684414196,371922.0309743093,9
上海市,20200110,4693843.325469014,46212.89417060965,274322.1770116808,10
上海市,20200111,4701011.106460656,47166.03746562161,263058.2004439135,11
上海市,20200112,4578225.975034013,46758.22865719759,255810.2445313659,12
上海市,20200113,4678188.251697214,47155.49717641926,284413.2072293543,13
上海市,20200114,4651722.555591683,47390.89696860494,287811.19096100016,14
上海市,20200115,4709639.484308554,47730.69581574717,242849.10021133872,15
上海市,20200116,4690944.707656872,47789.92220269368,230168.52010110905,16
上海市,20200117,4575897.528366356,47047.5846917286,234722.26916545423,17
上海市,20200118,4305001.0889104055,48212.78856712105,213913.2733958142,18
上海市,20200119,4135506.7702323934,48096.59442662854,213708.88267847284,19
上海市,20200120,4068070.408658032,48018.0441761444,249479.61603515453,20
上海市,20200121,3882905.932708373,47870.98204584504,269809.961861602,21
上海市,20200122,3804328.301692818,47726.680467479615,243957.371551402,22
上海市,20200123,3652184.132240632,46857.85948608641,192477.0247807705,23
上海市,20200124,3610014.232964264,39492.20500778185,117491.18326340916,24
上海市,20200125,3524143.9907827377,39550.9294761949,102388.52017660697,25
上海市,20200126,3499604.015051885,41197.97514369449,82814.91314639119,26
上海市,20200127,3565510.3459728984,39932.13660234635,107269.72064615515,27
